франкфурт-на-майне	франкфурт	0.86056006
основополагающий	полный	0.2726076
плексигласовый	химический	0.4774092
неподтвержденный	качественный	0.24240728
древневерхненемецкий	немецкий	0.5250025
обувнозаготовочный	древний	-0.022193268
сентиментальность	чувствительность	0.6728064
заблагорассудиться	краситься	0.47291318
самогоноварение	наркопреступность	0.42750862
полуразложившийся	полураспавшийся	0.43644288
шумозаградительный	обеспечительный	0.30030358
нерасследованный	следственный	0.47363836
неосуществленный	нереализованный	0.77560335
люминесцентный	жирный	0.4673144
кровезаменитель	каратель	0.22076029
песчано-гравийный	асфальтобетонный	0.7406992
валяносапожник	башмачник	0.48127553
необуржуазный	опасный	0.12439822
междоусобица	война	0.52284336
непотопляемый	верный	0.31712586
лейб-гвардейский	житейский	0.0045199203
предынфарктный	коматозный	0.6656293
завербовывать	нанимать	0.631937
склеропластика	информатика	0.2090012
неукоснительно	ветрено	0.06196989
неоплатонизм	комизм	0.46321875
поисково-спасательный	пастельный	0.28178445
коксующийся	угольный	0.60431814
эластокинематический	кинематический	0.71428573
восемьсотпятидесятилетие	возмездие	-0.10316203
неопознанный	неизвестный	0.62511295
горюче-смазочный	топливный	0.64217675
попустительствовать	потакать	0.4005609
спецслужбист	коммунист	0.5072547
самозатачивающийся	твердосплавный	0.5421142
биокибернетик	ученый	0.47138885
невосприимчивый	неподверженный	0.7015651
ханты-мансийск	торонто	0.23992516
центрально-черноземный	сонный	0.34831735
сергиево-посадский	московский	0.71995175
раннеперестроечный	позднесоветский	0.3916715
нормальненько	сухо	0.19997507
залогодержатель	банк	0.42456305
азиатско-тихоокеанский	дальневосточный	0.7255265
гастроэнтеролог	врач	0.6946168
конституционно-правовой	юридический	0.74658674
камнесамоцветный	драгоценный	0.25976133
горношахтный	промышленный	0.59159863
нечленораздельный	безмерный	0.4896771
белогвардеец	империя	0.33076996
электронно-механический	эпический	0.44514385
пуленепробиваемый	бронированный	0.53539956
пенополиуританин	кефир	0.053363867
бессквозняковый	безветреный	0.24106935
вестминстерский	лондонский	0.76129407
сногсшибательный	завистливый	0.34771052
полиизобутилен	поливинилацетат	0.7622373
грузино-абхазский	кавказский	0.74053854
детоталитаризация	стол	-0.102047555
слабоминерализованный	гидрокарбонатный	0.7034139
авиационно-космический	воздушный	0.42873955
сталелитейный	заводской	0.3998072
спринтерский	атлетический	0.57891434
звукозаписывающий	студийный	0.58175904
конкуретноспособность	предпринимательство	0.42625648
неремонтопригодный	былой	0.02156392
уголовно-процессуальный	судебный	0.6777004
приснопамятный	темпераментный	0.26162207
чехословацкий	чешский	0.71661985
полузамерзший	сиреневый	0.2345384
взаимозаменяемый	альтернативный	0.507929
неостановимый	воображаемый	0.3562276
налогооблагаемый	материальный	0.5448473
рационализаторский	классный	0.27143094
длиннобазный	вытянутый	0.4936967
поскальзываться	спотыкаться	0.87598556
легкоусвояемый	диетический	0.5683163
хлопчатобумажный	ткацкий	0.4653622
закоренелый	усталый	0.2729465
желудочно-кишечный	врачебный	0.3102204
квадратно-гнездовой	квадратный	0.72836035
гражданско-процессуальный	общеправовой	0.7612716
неосторожный	неаккуратный	0.7221414
приспосабливаться	умудряться	0.46612513
рабоче-крестьянский	пролетарский	0.7503427
тетраэтилсвинец	свинец	0.77541906
морально-нравственный	этический	0.82301027
незатасканный	неистрепанный	0.39060667
неизбирабельный	стойкий	0.008681389
социально-политический	экономический	0.8155023
двухъярусный	плотный	0.4584787
беллинсгаузен	крузенштерн	0.6835528
древесностружечный	строительный	0.570206
непропорциональность	диспропорциональность	0.8285774
горно-обогатительный	восхитительный	0.44096565
исправительно-трудовой	лагерный	0.43078843
сердечно-сосудистый	кровеносный	0.68255067
всепобеждающий	кожаный	0.030665778
небезызвестный	знаменитый	0.667633
приноравливаться	приспособляться	0.6831001
набалдашник	чиновник	0.22395664
всеохватывающий	всеобъемлющий	0.8034183
совершеннолетний	тетрадный	0.054951396
претенциозный	пафосный	0.5734044
